"Date","maxtempC","mintempC","totalSnow_cm","sunHour","uvIndex","uvIndex","moon_illumination","moonrise","moonset","sunrise","sunset","DewPointC","FeelsLikeC","HeatIndexC","WindChillC","WindGustKmph","cloudcover","humidity","precipMM","pressure","tempC","visibility","winddirDegree","windspeedKmph","maxtempC","Rain"
"1/15/2009","30","17","0","11.1","6","3.791666667","68","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.791666667","23.45833333","23.83333333","23.91666667","12.5","2.625","37.83333333","0","1017.666667","22.54166667","10","99.125","8.708333333","30","0"
"1/16/2009","30","17","0","11.1","6","3.833333333","60","12:00 AM","12:00 AM","12:00 AM","12:00 AM","8.541666667","23.75","24.25","24.125","11.41666667","2.541666667","38.5","0","1017.125","22.375","10","112.5833333","7.958333333","30","0"
"1/17/2009","30","16","0","11.1","6","3.916666667","53","12:00 AM","12:00 AM","12:00 AM","12:00 AM","9.416666667","23.41666667","23.66666667","23.66666667","7.75","9.625","41.83333333","0","1015.625","22.45833333","10","107.0833333","5.291666667","30","0"
"1/18/2009","31","17","0","11.1","6","3.916666667","46","12:00 AM","12:00 AM","12:00 AM","12:00 AM","9.333333333","24.08333333","24.45833333","24.375","9.375","3.5","40.375","0","1014.583333","22.625","10","97.83333333","6.125","31","0"
"1/19/2009","31","18","0","11.1","6","4","38","12:00 AM","12:00 AM","12:00 AM","12:00 AM","8.75","25.04166667","25.70833333","25.45833333","9.958333333","1","35.91666667","0","1014.208333","22.875","10","88.29166667","6.875","31","0"
"1/20/2009","32","17","0","11.1","6","4","31","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.041666667","24.54166667","24.875","25.25","10.08333333","2.583333333","30.04166667","0","1014.041667","23.25","10","89.375","6.666666667","32","0"
"1/21/2009","33","18","0","11.1","6","4.041666667","24","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.5","25.5","25.95833333","26.16666667","8.083333333","1.291666667","30.70833333","0","1013.833333","23.20833333","10","73.25","4.791666667","33","0"
"1/22/2009","33","16","0","11.1","6","4","17","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.833333333","24.41666667","24.875","24.95833333","6.833333333","5.708333333","33.66666667","0","1012.875","22.83333333","10","75.5","4.416666667","33","0"
"1/23/2009","33","18","0","11.1","6","4.083333333","9","12:00 AM","12:00 AM","12:00 AM","12:00 AM","4.708333333","25.29166667","25.58333333","26.04166667","11.54166667","2.75","26.79166667","0","1011.875","23.83333333","10","90.33333333","7.083333333","33","0"
"1/24/2009","33","16","0","10.1","6","3.916666667","2","12:00 AM","12:00 AM","12:00 AM","12:00 AM","1.375","23.41666667","23.5","24.20833333","7.916666667","41.95833333","24.70833333","0","1011.625","23.375","10","165.375","4.708333333","33","0"
"1/25/2009","33","15","0","11.1","6","4.166666667","0","12:00 AM","12:00 AM","12:00 AM","12:00 AM","5.041666667","24.04166667","24.41666667","24.75","6.166666667","25.625","30.58333333","0","1011.833333","23.375","10","164","3.791666667","33","0"
